Big Human Army
CommanderUnit,Mountain King,180
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
