Big Orc Army
CommanderUnit,Gul´dan,180
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
