Human Army
CommanderUnit,Mountain King,40
InfantryUnit,Footman,20
InfantryUnit,Footman,20
InfantryUnit,Footman,20
InfantryUnit,Footman,20
InfantryUnit,Footman,20
InfantryUnit,Footman,20
InfantryUnit,Footman,20
InfantryUnit,Footman,20
InfantryUnit,Footman,20
InfantryUnit,Footman,20
InfantryUnit,Footman,20
InfantryUnit,Footman,20
InfantryUnit,Footman,20
InfantryUnit,Footman,20
InfantryUnit,Footman,20
InfantryUnit,Footman,20
InfantryUnit,Footman,20
InfantryUnit,Footman,20
InfantryUnit,Footman,20
InfantryUnit,Footman,20
InfantryUnit,Footman,20
RangedUnit,Archer,20
RangedUnit,Archer,20
RangedUnit,Archer,20
RangedUnit,Archer,20
RangedUnit,Archer,20
RangedUnit,Archer,20
RangedUnit,Archer,20
RangedUnit,Archer,20
RangedUnit,Archer,20
RangedUnit,Archer,20
RangedUnit,Archer,20
RangedUnit,Archer,20
RangedUnit,Archer,20
RangedUnit,Archer,20
RangedUnit,Archer,20
RangedUnit,Archer,20
CavalryUnit,Cavalry,30
CavalryUnit,Cavalry,30
CavalryUnit,Cavalry,30
CavalryUnit,Cavalry,30
CavalryUnit,Cavalry,30
CavalryUnit,Cavalry,30
CavalryUnit,Cavalry,30
CavalryUnit,Cavalry,30
CavalryUnit,Cavalry,30
CavalryUnit,Cavalry,30
ArtilleryUnit,Scorpion,20
ArtilleryUnit,Scorpion,20
