Orc Army
CommanderUnit,Gul' Dan,40
InfantryUnit,Grunt,20
InfantryUnit,Grunt,20
InfantryUnit,Grunt,20
InfantryUnit,Grunt,20
InfantryUnit,Grunt,20
InfantryUnit,Grunt,20
InfantryUnit,Grunt,20
InfantryUnit,Grunt,20
InfantryUnit,Grunt,20
InfantryUnit,Grunt,20
InfantryUnit,Grunt,20
InfantryUnit,Grunt,20
InfantryUnit,Grunt,20
InfantryUnit,Grunt,20
InfantryUnit,Grunt,20
InfantryUnit,Grunt,20
InfantryUnit,Grunt,20
InfantryUnit,Grunt,20
InfantryUnit,Grunt,20
InfantryUnit,Grunt,20
InfantryUnit,Grunt,20
RangedUnit,Spearman,20
RangedUnit,Spearman,20
RangedUnit,Spearman,20
RangedUnit,Spearman,20
RangedUnit,Spearman,20
RangedUnit,Spearman,20
RangedUnit,Spearman,20
RangedUnit,Spearman,20
RangedUnit,Spearman,20
RangedUnit,Spearman,20
RangedUnit,Spearman,20
RangedUnit,Spearman,20
RangedUnit,Spearman,20
RangedUnit,Spearman,20
RangedUnit,Spearman,20
RangedUnit,Spearman,20
CavalryUnit,Raider,30
CavalryUnit,Raider,30
CavalryUnit,Raider,30
CavalryUnit,Raider,30
CavalryUnit,Raider,30
CavalryUnit,Raider,30
CavalryUnit,Raider,30
CavalryUnit,Raider,30
CavalryUnit,Raider,30
CavalryUnit,Raider,30
ArtilleryUnit,Catapult,20
ArtilleryUnit,Catapult,20
